CYAT,YAT,Attawapiskat Airport,M,52.9275,-82.4319,,,CA,Attawapiskat
CYAU,,Liverpool South Shore Regional Airport,M,44.2271,-64.8622,44.2335,-64.8500,CA,Liverpool
CYAV,,Winnipeg / St. Andrews Airport,M,50.0508,-97.0389,50.0614,-97.0261,CA,Winnipeg
CYAX,,Lac Du Bonnet Airport,M,50.2892,-96.0103,50.2992,-96.0092,CA,Lac Du Bonnet
CYAY,YAY,St. Anthony Airport,M,51.3909,-56.0918,51.3929,-56.0745,CA,St. Anthony
CYAZ,YAZ,Tofino / Long Beach Airport,M,49.0744,-125.7830,49.0894,-125.7600,CA,Tofino
CYBB,YBB,Kugaaruk Airport,M,68.5300,-89.8222,68.5389,-89.7939,CA,Kugaaruk
CYBC,YBC,Baie Comeau Airport,M,49.1309,-68.2196,49.1336,-68.1948,CA,Baie-Comeau
CYBD,QBC,Bella Coola Airport,M,52.3858,-126.6040,52.3894,-126.5870,CA,Bella Coola
CYBE,YBE,Uranium City Airport,M,59.5600,-108.4920,59.5628,-108.4710,CA,Uranium City
CYBF,YBY,Bonnyville Airport,M,54.3039,-110.7540,54.3042,-110.7330,CA,Bonnyville
CYBG,YBG,CFB Bagotville,M,48.3219,-71.0158,48.3375,-70.9750,CA,Bagotville
CYBK,YBK,Baker Lake Airport,M,64.2933,-96.0819,64.3044,-96.0736,CA,Baker Lake
CYBL,YBL,Campbell River Airport,M,49.9461,-125.2780,49.9556,-125.2630,CA,Campbell River
CYBQ,XTL,Tadoule Lake Airport,M,58.7061,-98.5122,,,CA,Tadoule Lake
CYBR,YBR,Brandon Municipal Airport,M,49.9065,-99.9659,49.9140,-99.9383,CA,Brandon
CYBT,YBT,Brochet Airport,M,57.8894,-101.6790,,,CA,Brochet
CYBU,,Nipawin Airport,M,53.3325,-104.0080,,,CA,Nipawin
CYBV,YBV,Berens River Airport,M,52.3589,-97.0183,,,CA,Berens River
CYBW,,Calgary / Springbank Airport,M,51.1031,-114.3800,51.1147,-114.3650,CA,Calgary
CYBX,YBX,Lourdes de Blanc Sablon Airport,M,51.4366,-57.1909,51.4476,-57.1818,CA,Lourdes-De-Blanc-Sablon
CYCA,YRF,Cartwright Airport,M,53.6828,-57.0419,,,CA,Cartwright
CYCB,YCB,Cambridge Bay Airport,M,69.1039,-105.1540,69.1122,-105.1230,CA,Cambridge Bay
CYCC,YCC,Cornwall Regional Airport,M,45.0922,-74.5700,45.0933,-74.5567,CA,Cornwall
CYCD,YCD,Nanaimo Airport,M,49.0455,-123.8700,49.0592,-123.8699,CA,Nanaimo
CYCE,YCE,James T. Field Memorial Aerodrome,M,43.2803,-81.5181,43.2908,-81.4992,CA,Centralia
CYCG,YCG,Castlegar/West Kootenay Regional Airport,M,49.2891,-117.6350,49.3034,-117.6300,CA,Castlegar
